win,score_us,score_opp,rounds,map,ban_a_us,ban_a_opp,ban_d_us,ban_d_opp,location_1,location_2,location_3,location_4,location_5,location_6,location_7,location_8,location_9,side_1,side_2,side_3,side_4,side_5,side_6,side_7,side_8,side_9,operator_1,operator_2,operator_3,operator_4,operator_5,operator_6,operator_7,operator_8,operator_9,win_1,win_2,win_3,win_4,win_5,win_6,win_7,win_8,win_9,kill_1,kill_2,kill_3,kill_4,kill_5,kill_6,kill_7,kill_8,kill_9,death_1,death_2,death_3,death_4,death_5,death_6,death_7,death_8,death_9,mihnea_1,mihnea_2,mihnea_3,mihnea_4,mihnea_5,mihnea_6,mihnea_7,mihnea_8,mihnea_9,kill_m_1,kill_m_2,kill_m_3,kill_m_4,kill_m_5,kill_m_6,kill_m_7,kill_m_8,kill_m_9,death_m_1,death_m_2,death_m_3,death_m_4,death_m_5,death_m_6,death_m_7,death_m_8,death_m_9,date
1,4,1,5,Bank,Jackal,Brava,Warden,Clash,4,1,2,4,1,,,,,2,2,2,1,1,1,,,,Mute,Bandit,Alibi,Thatcher,IQ,,,,,1,1,1,0,1,,,,,0,2,0,0,0,,,,,0,1,0,1,1,,,,,Mira,Thorn,Tachanka,Thermite,Grim,,,,,,,,,,,,,,,,,,,,,,,
1,4,1,5,Outback,Jackal,Osa,Caveira,Kapkan,1,1,2,1,1,,,,,2,2,2,1,1,,,,,Thorn,Thorn,Thorn,Maverick,Dokkaebi,,,,,0,1,1,1,1,,,,,0,1,0,1,0,,,,,1,1,0,0,1,,,,,Lesion,Lesion,Lesion,Grim,Grim,,,,,,,,,,,,,,,,,,,,,,,
1,4,1,5,Outback,Dokkaebi,Montagne,Clash,Fenrir,1,2,3,1,2,,,,,1,1,1,2,2,,,,,IQ,IQ,IQ,Thorn,Thorn,,,,,0,1,1,1,1,,,,,0,1,0,1,0,,,,,1,0,1,1,0,,,,,Grim,Fuze,Fuze,Goyo,Lesion,,,,,,,,,,,,,,,,,,,,,,,
1,5,4,9,Kanal,Osa,Thatcher,Caveira,Clash,1,4,3,1,4,2,1,1,1,1,1,1,2,2,2,1,2,1,IQ,Dokkaebi,Dokkaebi,Thorn,Thorn,Thorn,IQ,Thorn,IQ,1,0,0,1,1,0,1,0,1,0,0,0,2,2,1,2,0,0,0,1,1,0,0,1,0,1,0,Iana,Ying,Iana,Fenrir,Lesion,Lesion,Iana,Lesion,Iana,,,,,,,,,,,,,,,,,,,
0,2,4,6,Kafe,Dokkaebi,Jackal,Clash,Solis,1,4,4,1,2,3,,,,2,2,2,1,1,1,,,,Thorn,Thorn,Thorn,IQ,Buck,Osa,,,,1,0,1,0,0,0,,,,0,0,2,0,0,0,,,,0,1,0,1,1,1,,,,Lesion,Maestro,Kaid,Iana,Ying,Ying,,,,,,,,,,,,,,,,,,,,,,
1,4,0,4,Oregon,Fuze,Dokkaebi,Clash,Kaid,1,2,4,1,,,,,,2,2,2,1,,,,,,Thorn,Thorn,Mute,IQ,,,,,,1,1,1,1,,,,,,1,2,0,1,,,,,,0,0,1,0,,,,,,Mira,Lesion,Mira,Amaru,,,,,,,,,,,,,,,,,,,,,,,,
1,4,1,5,Oregon,Fuze,Dokkaebi,Fenrir,Solis,1,2,4,4,1,,,,,1,1,1,2,2,,,,,Jackal,Buck,Osa,Mute,Thorn,,,,,0,1,1,1,1,,,,,1,0,0,1,1,,,,,1,1,1,0,1,,,,,Ying,Iana,Ace,Mira,Lesion,,,,,,,,,,,,,,,,,,,,,,,
1,4,2,6,Club House,Thatcher,Jackal,Kaid,Fenrir,1,2,1,1,2,4,,,,1,1,1,2,2,2,,,,Lion,Lion,Lion,Mute,Thorn,Thorn,,,,1,0,0,1,1,1,,,,0,0,1,1,1,0,,,,1,1,1,1,0,1,,,,Ying,Ying,Iana,Frost,Lesion,Smoke,,,,,,,,,,,,,,,,,,,,,,
1,5,4,9,Nighthaven,Blitz,Dokkaebi,Warden,Caveira,1,1,1,2,1,1,2,1,4,1,1,1,2,2,2,2,1,2,IQ,IQ,IQ,Thorn,Thorn,Thorn,Thorn,IQ,Bandit,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,Ying,Ying,Ying,Lesion,Kaid,Lesion,Kapkan,Ying,Lesion,,,,,,,,,,,,,,,,,,,
1,4,1,5,Chalet,Thatcher,Jackal,Solis,Caveira,4,4,1,1,1,,,,,2,2,2,1,1,,,,,Mute,Mute,Thorn,IQ,IQ,,,,,0,1,1,1,1,,,,,0,1,1,0,1,,,,,1,1,1,1,0,,,,,Mira,Mira,Lesion,Ying,Ying,,,,,,,,,,,,,,,,,,,,,,,
1,5,4,9,Emerald,Fuze,Jackal,Caveira,Clash,1,4,2,1,4,3,1,1,2,2,2,2,1,1,1,2,1,2,Thorn,Alibi,Alibi,IQ,IQ,IQ,Alibi,IQ,Thorn,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,4,9,Coastline,Fuze,Sledge,Warden,Clash,1,3,2,1,1,2,1,1,2,1,1,1,2,2,2,2,1,2,IQ,Jackal,IQ,Thorn,Thorn,Thorn,Thorn,Jackal,Thorn,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,1,5,Consulate,Dokkaebi,Montagne,Caveira,Fenrir,1,4,3,1,4,,,,,1,1,1,2,2,,,,,IQ,Ram,IQ,Thorn,Thorn,,,,,1,0,1,1,1,,,,,0,0,1,1,1,,,,,0,1,0,0,0,,,,,Ying,Ying,Ying,Lesion,Azami,,,,,,,,,,,,,,,,,,,,,,,
0,4,5,9,Villa,Osa,Jackal,Warden,Clash,1,1,2,1,4,2,1,1,1,2,2,2,1,1,1,1,2,1,Thorn,Thorn,Thorn,Dokkaebi,Buck,IQ,Dokkaebi,Thorn,IQ,0,0,0,1,1,1,1,0,0,1,0,0,0,2,1,1,3,0,1,1,1,1,0,1,0,1,1,Lesion,Echo,Lesion,Ying,Ying,Ying,Ying,Mira,Ying,,,,,,,,,,,,,,,,,,,
1,4,1,5,Club House,Fuze,Thatcher,Warden,nothing,4,1,2,4,1,,,,,1,1,1,2,2,,,,,IQ,IQ,Dokkaebi,Thorn,Thorn,,,,,1,0,1,1,1,,,,,2,1,0,0,0,,,,,0,1,0,0,0,,,,,Ying,Ying,Ying,Kaid,Frost,,,,,,,,,,,,,,,,,,,,,,,
0,0,4,4,Consulate,Jackal,Dokkaebi,Warden,Mira,1,4,2,1,,,,,,1,1,1,2,,,,,,IQ,nokk,IQ,Kapkan,,,,,,0,0,0,0,,,,,,3,0,1,0,,,,,,1,1,1,1,,,,,,Ying,Osa,Iana,Lesion,,,,,,,,,,,,,,,,,,,,,,,,
0,2,4,6,Coastline,Dokkaebi,Jackal,Warden,Mira,1,3,2,1,2,3,,,,1,1,1,2,2,2,,,,Glaz,IQ,nokk,Thorn,Thorn,Thorn,,,,0,0,0,1,1,0,,,,0,0,0,3,0,2,,,,1,1,1,0,1,1,,,,Iana,Ram,Ying,Lesion,Lesion,Lesion,,,,,,,,,,,,,,,,,,,,,,
0,2,4,6,Outback,Jackal,Blitz,Clash,Fenrir,1,1,2,1,2,3,,,,2,2,2,1,1,1,,,,Thorn,Thorn,Thorn,Glaz,Dokkaebi,Fuze,,,,0,1,1,0,0,0,,,,1,1,1,0,1,1,,,,1,0,0,1,1,0,,,,Lesion,Lesion,Lesion,Ying,Ying,Ying,,,,,,,,,,,,,,,,,,,,,,
1,5,3,8,Oregon,Fuze,Osa,Caveira,Fenrir,1,4,2,4,1,2,1,1,,1,1,1,2,2,2,1,2,,IQ,IQ,Dokkaebi,Mute,Thorn,Thorn,Dokkaebi,Thorn,,0,0,0,1,1,1,1,1,,0,0,0,0,0,0,1,1,,1,1,1,1,0,0,0,1,,Ying,Grim,Grim,Mira,Mira,Lesion,Ying,Mira,,,,,,,,,,,,,,,,,,,,
1,4,1,5,Bank,Fuze,Ram,Caveira,Fenrir,3,4,1,4,1,,,,,1,1,1,2,2,,,,,Jackal,IQ,IQ,Mute,Thorn,,,,,1,1,0,1,1,,,,,0,0,0,1,0,,,,,1,1,1,1,1,,,,,Ying,Osa,Grim,Mira,Lesion,,,,,,,,,,,,,,,,,,,,,,,
1,5,3,8,Club House,Thatcher,Jackal,Caveira,Clash,1,2,4,1,2,4,1,2,,2,2,2,1,1,1,2,1,,Mute,Thorn,Thorn,Dokkaebi,Dokkaebi,Fuze,Mute,Dokkaebi,,1,1,0,0,1,0,1,1,,0,2,3,1,0,1,1,1,,0,0,1,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,4,5,Oregon,Thatcher,Jackal,Warden,Caveira,1,4,4,1,2,,,,,2,2,2,1,1,,,,,Mute,Mute,Mute,Ash,nokk,,,,,0,0,1,0,0,,,,,0,0,1,0,0,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,1,5,Oregon,Thatcher,Dokkaebi,Fenrir,Caveira,1,4,2,1,1,,,,,2,2,2,1,1,,,,,Thorn,Thorn,Thorn,IQ,IQ,,,,,1,1,0,1,1,,,,,0,0,1,0,0,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,5,9,Oregon,Thatcher,Jackal,Caveira,Fenrir,4,1,4,1,2,4,1,4,4,2,2,2,1,1,1,2,1,2,Mute,Mute,Mute,IQ,Finka,Finka,Mute,Finka,Mute,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,5,9,Bank,Fuze,nothing,Warden,Clash,4,1,2,1,4,2,4,4,1,2,2,2,1,1,1,2,1,2,Mute,Thorn,Mute,IQ,Finka,Finka,Mute,Finka,Thorn,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,4,5,Consulate,Thatcher,Fuze,Caveira,Clash,1,4,4,1,4,,,,,2,2,2,1,1,,,,,Echo,Echo,jager,Thermite,Finka,,,,,1,0,0,0,0,,,,,2,0,0,0,2,,,,,0,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,4,6,Oregon,Thatcher,Jackal,Caveira,Clash,1,4,2,4,1,4,,,,1,1,1,2,2,2,,,,Ying,Finka,Finka,Mute,Thorn,Bandit,,,,0,0,1,0,1,0,,,,2,0,0,2,0,0,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,4,9,Border,Jackal,Dokkaebi,Warden,Fenrir,1,3,2,1,3,2,1,1,1,2,2,2,1,1,1,2,1,2,Thorn,Thorn,Bandit,IQ,Finka,IQ,Thorn,IQ,Thorn,1,1,1,0,0,0,0,1,1,1,0,0,0,2,0,0,0,0,0,0,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,1,5,Consulate,Jackal,Thatcher,Warden,mira,1,4,3,1,4,,,,,1,1,1,2,2,,,,,Finka,Finka,Finka,Thorn,Thorn,,,,,0,1,1,1,1,,,,,0,1,0,0,2,,,,,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,4,5,Chalet,Thatcher,Dokkaebi,Warden,Caveira,1,4,2,4,1,,,,,1,1,1,2,2,,,,,IQ,IQ,IQ,Mute,Bandit,,,,,0,0,1,0,0,,,,,0,1,0,0,0,,,,,1,1,1,1,1,,,,,Finka,Thermite,Ram,Mira,Fenrir,,,,,,,,,,,,,,,,,,,,,,,
0,2,4,6,Border,Glaz,Jackal,Caveira,Clash,1,3,2,1,3,2,,,,2,2,2,1,1,1,,,,Bandit,Thorn,Thorn,IQ,IQ,IQ,,,,1,1,0,0,0,0,,,,0,1,1,0,0,0,,,,1,1,1,1,1,1,,,,Kapkan,Lesion,Lesion,Ying,Ram,Ram,,,,,,,,,,,,,,,,,,,,,,
0,1,4,5,Border,Thatcher,nothing,Caveira,Clash,1,2,2,1,1,,,,,1,1,1,2,2,,,,,IQ,IQ,IQ,Thorn,Thorn,,,,,0,1,0,0,0,,,,,0,0,0,0,1,,,,,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,4,6,Kanal,Fuze,Blitz,Clash,Fenrir,1,4,2,1,1,4,,,,1,1,1,2,2,2,,,,IQ,IQ,IQ,Thorn,Thorn,Thorn,,,,0,0,1,0,1,1,,,,0,0,0,0,0,1,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,4,9,Border,Fuze,Jackal,Warden,Clash,1,1,2,1,2,2,1,1,1,2,2,2,1,1,1,1,2,1,Bandit,Bandit,Thorn,IQ,IQ,IQ,IQ,Bandit,Osa,0,1,1,0,1,0,1,0,1,0,1,2,0,1,0,3,0,0,1,0,0,1,1,1,0,1,0,Echo,Lesion,Smoke,Finka,Buck,Lion,Ying,Lesion,Ying,,,,,,,,,,,,,,,,,,,
1,4,1,5,Villa,Fuze,Jackal,Warden,Fenrir,1,1,4,1,2,,,,,1,1,1,2,2,,,,,IQ,IQ,IQ,Thorn,Thorn,,,,,1,1,0,1,1,,,,,0,0,0,1,0,,,,,1,0,1,0,1,,,,,Finka,Finka,Finka,Echo,Doc,,,,,,,,,,,,,,,,,,,,,,,
0,2,4,6,Skyscraper,Osa,Jackal,Fenrir,nothing,1,2,3,1,2,3,,,,2,2,2,1,1,1,,,,Lesion,Valkyrie,Lesion,Thermite,Thermite,Thermite,,,,1,1,0,0,0,0,,,,0,1,0,0,0,1,,,,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2,4,6,Skyscraper,Fuze,Dokkaebi,Warden,Mira,1,2,1,1,1,3,,,,1,1,1,2,2,2,,,,Thermite,Thermite,Thermite,Lesion,Lesion,Lesion,,,,1,0,1,0,0,0,,,,0,0,0,0,0,0,,,,0,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,4,4,Theme Park,Fuze,Jackal,Caveira,Fenrir,1,2,3,1,,,,,,1,1,1,2,,,,,,Thermite,Thermite,Thermite,Lesion,,,,,,0,0,0,0,,,,,,3,0,2,0,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,0,4,Chalet,Thatcher,Osa,Warden,Fenrir,1,4,2,1,,,,,,2,2,2,1,,,,,,Lesion,Mute,Lesion,Thermite,,,,,,1,1,1,1,,,,,,0,1,2,1,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,4,4,Coastline,Fuze,Jackal,Warden,Fenrir,1,4,2,1,,,,,,1,1,1,2,,,,,,Dokkaebi,Dokkaebi,Dokkaebi,jager,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,4,4,Consulate,Jackal,Blitz,Caveira,Clash,1,2,4,1,,,,,,1,1,1,2,,,,,,Dokkaebi,Dokkaebi,Dokkaebi,jager,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,2,6,Consulate,Thatcher,Amaru,Fenrir,Kapkan,1,4,2,1,4,2,,,,1,1,1,2,2,2,,,,Nomad,Nomad,Twitch,Alibi,tubarao,Alibi,,,,0,0,1,1,1,1,,,,0,1,0,2,1,1,,,,1,1,0,0,0,1,,,,Jackal,Ying,Ram,Lesion,Kaid,Azami,,,,,,,,,,,,,,,,,,,,,,
0,2,4,6,Kafe,Osa,Dokkaebi,Fenrir,Clash,1,4,4,1,4,2,,,,2,2,2,1,1,1,,,,Alibi,tubarao,Alibi,Twitch,Twitch,nokk,,,,1,0,1,0,0,0,,,,2,1,0,0,0,0,,,,0,1,1,1,1,1,,,,Frost,Kaid,Aruni,Finka,Grim,Ying,,,,,,,,,,,,,,,,,,,,,,
1,4,0,4,Consulate,Blitz,Ash,Clash,Caveira,1,4,1,1,,,,,,1,1,1,2,,,,,,Hibana,Hibana,Hibana,Kapkan,,,,,,1,1,1,1,,,,,,0,1,0,0,,,,,,1,0,1,1,,,,,,Jackal,Ying,Lion,Lesion,,,,,,,,,,,,,,,,,,,,,,,,
0,1,4,5,Bank,Fuze,Ram,Caveira,Clash,1,1,4,4,4,,,,,1,1,1,2,2,,,,,IQ,IQ,nokk,Mute,Mute,,,,,1,0,0,0,0,,,,,0,2,1,0,2,,,,,1,1,1,1,1,,,,,Finka,Osa,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,5,8,Bank,Montagne,Jackal,Fenrir,Clash,1,4,4,1,1,1,4,4,,2,2,2,1,1,1,2,1,,Castle,Mute,Castle,Maverick,Maverick,Maverick,Castle,Maverick,,1,0,1,1,0,0,0,0,,1,0,0,0,0,1,0,1,,1,1,1,1,1,1,1,0,,Azami,Mira,Mira,Ash,Ash,Thermite,Mira,Ash,,,,,,,,,,,,,,,,,,,,
1,4,2,6,Villa,Thatcher,Jackal,Azami,Fenrir,1,1,2,1,2,4,,,,1,1,1,2,2,2,,,,Maverick,Maverick,Maverick,Thorn,Thorn,Clash,,,,1,0,0,1,1,1,,,,2,0,0,1,2,0,,,,1,1,1,1,1,0,,,,Thermite,Thermite,Thermite,Castle,Castle,Castle,,,,,,,,,,,,,,,,,,,,,,
1,4,2,6,Kafe,Fuze,Brava,Caveira,Fenrir,1,4,2,4,1,1,,,,2,2,2,1,1,1,,,,Thorn,Thorn,Castle,Thermite,Ash,Ash,,,,1,1,0,0,1,1,,,,0,1,0,0,2,3,,,,1,0,1,1,1,0,,,,Castle,Castle,Pulse,Maverick,Finka,Ram,,,,,,,,,,,,,,,,,,,,,,
1,4,2,6,Chalet,Dokkaebi,Blitz,Clash,Fenrir,1,4,1,1,4,1,,,,1,1,1,2,2,2,,,,Ash,Ash,Ash,Thorn,Mute,Castle,,,,1,0,1,0,1,1,,,,0,0,1,0,0,0,,,,0,1,0,1,0,1,,,,Maverick,Maverick,Maverick,Castle,Mira,Lesion,,,,,,,,,,,,,,,,,,,,,,
1,4,2,6,Bank,Fuze,Dokkaebi,Caveira,Smoke,1,1,2,4,1,1,,,,1,1,1,2,2,2,,,,IQ,nokk,nokk,Mute,Thorn,Thorn,,,,1,0,1,1,0,1,,,,0,1,0,0,1,1,,,,1,1,0,0,1,1,,,,Jackal,Ram,Ram,Mira,Echo,Lesion,,,,,,,,,,,,,,,,,,,,,,
0,3,4,7,Consulate,Jackal,Thatcher,Fenrir,Clash,1,4,1,1,4,4,4,4,,2,2,2,1,1,1,1,2,,Thorn,tubarao,Thorn,nokk,nokk,nokk,nokk,tubarao,,0,1,0,1,1,0,0,0,,1,0,0,1,1,1,0,0,,1,0,1,0,0,1,1,1,,Lesion,Kaid,Lesion,Ying,Ram,Ying,Ying,,,,,,,,,,,,,,,,,,,,,
1,4,2,6,Theme Park,Blitz,Dokkaebi,Caveira,Clash,1,3,2,2,3,1,,,,1,1,1,2,2,2,,,,IQ,IQ,IQ,Thorn,Thorn,Castle,,,,1,0,0,1,1,1,,,,1,0,0,0,1,0,,,,1,1,1,1,0,1,,,,Hibana,Hibana,Hibana,Lesion,Lesion,Lesion,,,,,,,,,,,,,,,,,,,,,,
0,2,4,6,Oregon,Fuze,Thatcher,Fenrir,Smoke,1,1,4,1,4,2,,,,2,2,2,1,1,1,,,,Thorn,Thorn,Bandit,IQ,nokk,Ash,,,,0,1,1,0,0,0,,,,1,1,2,0,0,0,,,,1,0,1,1,1,1,,,,Mira,Bandit,Mira,Thermite,Ying,Ram,,,,,,,,,,,,,,,,,,,,,,
0,4,5,9,Consulate,Jackal,Dokkaebi,Fenrir,Clash,1,4,4,1,4,4,1,4,1,1,1,1,2,2,2,2,1,2,Ying,nokk,nokk,Thorn,Thorn,tubarao,Thorn,nokk,Thorn,0,1,0,1,0,1,0,1,0,0,3,0,2,0,0,1,4,0,1,0,1,0,1,1,1,0,1,Finka,Ying,Ying,Lesion,Kaid,Kaid,Lesion,Sledge,Lesion,,,,,,,,,,,,,,,,,,,
0,1,4,5,Oregon,Thatcher,Dokkaebi,Clash,Kapkan,1,4,2,4,1,,,,,1,1,1,2,2,,,,,Twitch,nokk,nokk,Mute,Thorn,,,,,0,0,0,1,0,,,,,0,0,0,0,0,,,,,1,1,1,0,1,,,,,capitao,Ying,Ram,Mira,Mira,,,,,,,,,,,,,,,,,,,,,,,
0,2,4,6,Border,Thatcher,Dokkaebi,Fenrir,Clash,1,2,2,1,4,2,,,,1,1,1,2,2,2,,,,IQ,IQ,IQ,Bandit,Bandit,Bandit,,,,0,1,0,1,0,0,,,,0,1,0,1,0,0,,,,1,1,1,0,1,1,,,,Ying,Ram,Ram,Kapkan,Lesion,Lesion,,,,,,,,,,,,,,,,,,,,,,
1,4,2,6,Kafe,Thatcher,Jackal,Caveira,Fenrir,1,4,2,1,4,1,,,,2,2,2,1,1,1,,,,jager,Thorn,Bandit,IQ,IQ,IQ,,,,1,1,1,0,0,1,,,,0,0,0,0,0,0,,,,1,1,0,1,1,1,,,,Lesion,Kaid,Lesion,Dokkaebi,Ram,Ram,,,,,,,,,,,,,,,,,,,,,,
0,2,4,6,Chalet,Thatcher,Brava,Fenrir,Clash,1,4,2,1,4,1,,,,1,1,1,2,2,2,,,,IQ,Dokkaebi,Dokkaebi,Bandit,Bandit,Bandit,,,,0,0,1,0,1,0,,,,2,1,0,1,0,0,,,,0,1,1,1,1,1,,,,Ying,Ying,Ram,Castle,Mira,Castle,,,,,,,,,,,,,,,,,,,,,,
1,4,1,5,Kafe,Dokkaebi,nothing,Fenrir,Caveira,1,1,4,1,4,,,,,1,1,1,2,2,,,,,IQ,Ash,nokk,Thorn,Thorn,,,,,1,0,1,1,1,,,,,0,0,0,1,0,,,,,1,1,1,0,1,,,,,Amaru,Amaru,Ram,Lesion,Kaid,,,,,,,,,,,,,,,,,,,,,,,
0,3,5,8,Coastline,Ram,Dokkaebi,Kapkan,Fenrir,1,2,3,1,1,3,1,1,,2,2,2,1,1,1,1,2,,Thorn,Thorn,Thorn,nokk,nokk,nokk,nokk,Thorn,,1,0,0,1,0,1,0,0,,3,1,1,0,0,1,0,0,,0,1,1,0,1,0,1,1,,Lesion,Mute,Lesion,Osa,Osa,Ying,Ying,Smoke,,,,,,,,,,,,,,,,,,,,
1,5,4,9,Bank,Fuze,Blitz,Fenrir,clash,4,1,1,1,4,2,4,1,1,2,2,2,1,1,1,2,1,2,Mute,Thorn,Thorn,Dokkaebi,Dokkaebi,IQ,Mute,nokk,Alibi,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,Mira,Lesion,Lesion,IQ,Ying,Ram,Mira,Osa,Lesion,,,,,,,,,,,,,,,,,,,
0,4,5,9,Bank,Jackal,Ram,Fenrir,Clash,1,4,2,1,4,2,1,1,4,2,2,2,1,1,1,2,1,2,Thorn,Mute,Alibi,nokk,nokk,nokk,Thorn,Finka,Mute,1,1,1,0,0,0,0,1,0,0,0,2,1,1,0,2,0,0,1,0,1,1,1,1,1,0,1,Lesion,Mira,Kapkan,Grim,Ying,Sledge,Lesion,Ying,Mira,,,,,,,,,,,,,,,,,,,
0,1,4,5,Skyscraper,Fuze,Jackal,Caveira,Fenrir,2,1,2,2,1,,,,,2,2,2,1,1,,,,,Thorn,Thorn,Thorn,Thermite,Thermite,,,,,0,0,0,1,0,,,,,0,0,0,0,0,,,,,1,1,1,0,1,,,,,Lesion,Lesion,Kapkan,Gridlock,Gridlock,,,,,,,,,,,,,,,,,,,,,,,
1,4,2,6,Border,Thatcher,Jackal,Caveira,Clash,1,2,1,1,1,2,,,,1,1,1,2,2,2,,,,nokk,nokk,nokk,Thorn,Thorn,Thorn,,,,0,1,1,0,1,1,,,,1,0,1,0,1,2,,,,1,1,0,1,0,0,,,,Ying,Ram,Ram,Vigil,Fenrir,Lesion,,,,,,,,,,,,,,,,,,,,,,
0,1,4,5,Consulate,Thatcher,nothing,Fenrir,Caveira,1,4,2,1,4,,,,,2,2,2,1,1,,,,,Thorn,tubarao,Thorn,nokk,nokk,,,,,0,1,0,0,0,,,,,0,1,0,0,1,,,,,1,0,1,1,1,,,,,Lesion,Kaid,Lesion,Jackal,Ying,,,,,,,,,,,,,,,,,,,,,,,
0,1,4,5,Border,Dokkaebi,nothing,Fenrir,Clash,1,2,4,1,2,,,,,1,1,1,2,2,,,,,Thermite,nokk,nokk,Thorn,Thorn,,,,,0,0,1,0,0,,,,,0,0,0,0,1,,,,,1,1,1,1,1,,,,,Ram,Ram,Ram,Kapkan,Lesion,,,,,,,,,,,,,,,,,,,,,,,
0,2,4,6,Theme Park,Blitz,nothing,Caveira,Clash,1,1,2,1,3,2,,,,1,1,1,2,2,2,,,,IQ,nokk,nokk,Alibi,Alibi,Alibi,,,,1,1,0,0,0,0,,,,1,0,0,0,0,0,,,,0,0,1,1,1,1,,,,Ying,Ying,Hibana,Azami,Azami,Echo,,,,,,,,,,,,,,,,,,,,,,
0,2,4,6,Border,Dokkaebi,Jackal,Fenrir,Caveira,1,2,2,1,2,4,,,,2,2,2,1,1,1,,,,Thorn,Thorn,Thorn,nokk,nokk,Nomad,,,,1,0,0,0,1,0,,,,1,0,0,0,2,3,,,,0,1,1,1,0,1,,,,Kapkan,Lesion,Lesion,Ying,Ram,Ram,,,,,,,,,,,,,,,,,,,,,,
0,1,4,5,Border,Jackal,Dokkaebi,Clash,Fenrir,1,2,3,1,3,,,,,2,2,2,1,1,,,,,Rook,Rook,Rook,Zofia,Zofia,,,,,0,1,0,0,0,,,,,1,0,1,0,1,,,,,1,1,1,1,1,,,,,Doc,Doc,Doc,Ying,Ying,,,,,,,,,,,,,,,,,,,,,,,
1,4,1,5,Kafe,Jackal,Ying,Clash,Mira,4,4,1,1,4,,,,,1,1,1,2,2,,,,,Zofia,Zofia,Zofia,Rook,Rook,,,,,1,0,1,1,1,,,,,0,0,0,1,0,,,,,1,1,0,0,0,,,,,Hibana,Hibana,Hibana,Doc,Kaid,,,,,,,,,,,,,,,,,,,,,,,
0,2,4,6,Coastline,,,,,1,1,3,1,1,3,,,,1,1,1,2,2,2,,,,Gridlock,Gridlock,Ash,Castle,Castle,Castle,,,,1,1,0,0,0,0,,,,1,1,1,0,0,0,,,,0,0,1,1,1,1,,,,Ash,Ash,Gridlock,Pulse,Pulse,Pulse,,,,,,,,,,,,,,,,,,,,,,
1,4,1,5,Club House,,,,,1,1,1,1,1,,,,,1,1,1,2,2,,,,,Ash,Ash,Ash,Castle,Castle,,,,,1,1,1,0,1,,,,,0,0,2,0,4,,,,,1,0,0,1,0,,,,,Gridlock,Gridlock,Gridlock,Frost,Frost,,,,,,,,,,,,,,,,,,,,,,,
1,4,0,4,Theme Park,,,,,1,2,3,1,,,,,,2,2,2,1,,,,,,Castle,Thorn,Castle,Ash,,,,,,1,1,1,1,,,,,,0,2,4,0,,,,,,1,1,0,0,,,,,,Pulse,Pulse,Azami,Thermite,,,,,,,,,,,,,,,,,,,,,,,,
0,2,4,6,Coastline,Dokkaebi,Osa,Fenrir,Clash,1,2,4,1,2,3,,,,2,2,2,1,1,1,,,,Rook,Rook,Ela,nokk,Zofia,Zofia,,,,0,1,0,1,0,0,,,,0,0,0,0,0,0,,,,1,1,1,1,1,1,,,,Doc,Doc,Ram,Ying,Hibana,Ram,,,,,,,,,,,,,,,,,,,,,,
