win,score_us,score_opp,rounds,map,ban_a_us,ban_a_opp,ban_d_us,ban_d_opp,location_1,location_2,location_3,location_4,location_5,location_6,location_7,location_8,location_9,side_1,side_2,side_3,side_4,side_5,side_6,side_7,side_8,side_9,operator_1,operator_2,operator_3,operator_4,operator_5,operator_6,operator_7,operator_8,operator_9,win_1,win_2,win_3,win_4,win_5,win_6,win_7,win_8,win_9,kill_1,kill_2,kill_3,kill_4,kill_5,kill_6,kill_7,kill_8,kill_9,death_1,death_2,death_3,death_4,death_5,death_6,death_7,death_8,death_9,mihnea_1,mihnea_2,mihnea_3,mihnea_4,mihnea_5,mihnea_6,mihnea_7,mihnea_8,mihnea_9,kill_m_1,kill_m_2,kill_m_3,kill_m_4,kill_m_5,kill_m_6,kill_m_7,kill_m_8,kill_m_9,death_m_1,death_m_2,death_m_3,death_m_4,death_m_5,death_m_6,death_m_7,death_m_8,death_m_9,date
1,4,1,5,Bank,,,,,1,1,1,4,1,,,,,1,1,1,2,2,,,,,nomad,nomad,nomad,caveira,caveira,,,,,1,1,0,1,1,,,,,3,3,0,0,1,,,,,0,0,1,1,0,,,,,iana,iana,iana,smoke,smoke,,,,,1,0,0,1,2,,,,,1,1,1,0,0,,,,,7/30/2024
0,3,4,7,Lair,,,,,1,1,3,1,4,2,1,,,2,2,2,1,1,1,2,,,thorn,caveira,caveira,nomad,nomad,nomad,caveira,,,0,1,1,0,1,0,0,,,1,2,1,0,3,0,0,,,1,0,0,1,1,1,1,,,smoke,smoke,smoke,iana,iana,iana,smoke,,,0,1,0,2,1,2,1,,,1,0,0,1,1,1,1,,,7/30/2024
1,4,0,4,Kanal,,,,,1,1,4,1,,,,,,1,1,1,2,,,,,,nomad,nomad,nomad,caveira,,,,,,1,1,1,1,,,,,,1,3,0,0,,,,,,0,0,1,1,,,,,,iana,iana,iana,smoke,,,,,,2,2,2,3,,,,,,0,0,0,0,,,,,,7/30/2024
0,3,4,7,Border,,,,,1,1,1,1,3,3,1,,,2,2,2,1,1,1,2,,,caveira,caveira,caveira,nomad,nomad,nomad,caveira,,,0,0,1,0,1,1,0,,,0,0,0,0,0,0,0,,,1,1,0,1,0,1,1,,,smoke,mute,mute,iana,iana,iana,smoke,,,0,2,1,0,0,3,0,,,1,1,0,1,1,0,1,,,7/30/2024
1,4,0,4,Outback,,,,,1,2,3,1,,,,,,2,2,2,1,,,,,,caveira,caveira,caveira,nomad,,,,,,1,1,1,1,,,,,,2,1,0,0,,,,,,0,1,1,0,,,,,,smoke,smoke,smoke,iana,,,,,,0,1,0,0,,,,,,1,0,1,0,,,,,,7/30/2024
0,1,4,5,Nighthaven,,,,,1,1,1,1,1,,,,,2,2,2,1,1,,,,,caveira,thorn,caveira,nomad,nomad,,,,,0,0,0,1,0,,,,,1,1,0,2,0,,,,,1,1,1,0,1,,,,,vigil,vigil,smoke,iana,iana,,,,,1,1,2,0,0,,,,,1,1,1,0,1,,,,,7/30/2024
1,4,0,4,Theme Park,,,,,1,2,3,1,,,,,,2,2,2,1,,,,,,mira,caveira,solis,hibana,,,,,,1,1,1,1,,,,,,1,2,0,1,,,,,,0,0,0,0,,,,,,frost,pulse,rook,sledge,,,,,,1,0,1,2,,,,,,1,0,1,0,,,,,,7/30/2024
1,4,1,5,Skyscraper,,,,,1,2,4,1,2,,,,,2,2,2,1,1,,,,,caveira,caveira,caveira,nomad,ash,,,,,1,1,1,0,1,,,,,1,0,1,0,0,,,,,0,1,0,1,0,,,,,melusi,melusi,melusi,sledge,sledge,,,,,1,0,3,0,2,,,,,0,1,0,1,0,,,,,7/30/2024
0,1,4,5,Border,kali,dokkaebi,clash,fenrir,1,2,3,1,1,,,,,1,1,1,2,2,,,,,iq,buck,buck,caveira,thorn,,,,,0,1,0,0,0,,,,,0,1,0,0,0,,,,,1,1,1,1,1,,,,,jackal,ram,ram,kapkan,maestro,,,,,0,1,0,0,0,,,,,1,0,1,1,1,,,,,7/30/2024
1,5,3,8,Kafe,dokkaebi,blitz,clash,caveira,1,4,4,1,4,4,1,1,,2,2,2,1,1,1,2,1,,maestro,thorn,thorn,nomad,nomad,nomad,thorn,nomad,,1,0,1,0,1,0,1,1,,2,0,1,1,0,0,1,1,,0,1,0,1,0,1,0,1,,melusi,kaid,kaid,finka,ram,ram,melusi,finka,,0,0,0,2,3,0,1,0,,0,1,0,1,0,1,0,1,,7/30/2024
1,4,2,6,Emerald,,,,,1,2,4,1,4,2,,,,2,2,2,1,1,1,,,,kapkan,kapkan,kapkan,glaz,glaz,glaz,,,,1,1,0,1,0,1,,,,2,1,0,0,0,2,,,,0,1,1,0,1,0,,,,ela,lesion,ela,dokkaebi,dokkaebi,dokkaebi,,,,0,2,2,0,2,0,,,,1,0,1,0,1,1,,,,7/30/2024
1,4,1,5,Club House,,,,,1,1,2,2,1,,,,,2,2,2,1,1,,,,,thorn,thorn,thorn,brava,brava,,,,,0,1,1,1,1,,,,,0,0,1,1,0,,,,,1,1,0,1,0,,,,,frost,ela,frost,dokkaebi,lion,,,,,1,0,2,0,2,,,,,1,1,0,1,0,,,,,7/30/2024
